rand = 2439, rand_cv = 4026
rand = 3947, rand_cv = 3905
rand = 3849, rand_cv = 2858
rand = 3840, rand_cv = 848
rand = 606, rand_cv = 761
rand = 2281, rand_cv = 1758
rand = 3046, rand_cv = 3915
rand = 4853, rand_cv = 157
rand = 1369, rand_cv = 2233
rand = 2545, rand_cv = 4105
rand = 2684, rand_cv = 4641
rand = 583, rand_cv = 3758
rand = 868, rand_cv = 581
rand = 789, rand_cv = 2655
rand = 4774, rand_cv = 400
rand = 2609, rand_cv = 129
rand = 563, rand_cv = 3855
rand = 69, rand_cv = 792
rand = 1581, rand_cv = 1933
rand = 598, rand_cv = 997
rand = 234, rand_cv = 344
rand = 4461, rand_cv = 1166
rand = 3697, rand_cv = 4795
rand = 3131, rand_cv = 3386
rand = 4907, rand_cv = 2004
rand = 57, rand_cv = 4526
rand = 3806, rand_cv = 1013
rand = 2896, rand_cv = 1336
rand = 2824, rand_cv = 3915
rand = 1955, rand_cv = 3293
rand = 2437, rand_cv = 3417
rand = 860, rand_cv = 4054
rand = 1023, rand_cv = 4713
rand = 180, rand_cv = 1933
rand = 4072, rand_cv = 27
rand = 3956, rand_cv = 3785
rand = 1905, rand_cv = 1576
rand = 4288, rand_cv = 157
rand = 4380, rand_cv = 4482
rand = 2564, rand_cv = 183
rand = 3306, rand_cv = 3981
rand = 3118, rand_cv = 3555
rand = 3628, rand_cv = 4701
rand = 827, rand_cv = 400
rand = 1268, rand_cv = 2535
rand = 1639, rand_cv = 4054
rand = 848, rand_cv = 4462
rand = 2629, rand_cv = 344
rand = 4052, rand_cv = 3646
rand = 3261, rand_cv = 3219
rand = 1460, rand_cv = 1794
rand = 3157, rand_cv = 1812
rand = 3603, rand_cv = 2695
rand = 4172, rand_cv = 198
rand = 4481, rand_cv = 792
rand = 82, rand_cv = 1493
rand = 3054, rand_cv = 3785
rand = 3108, rand_cv = 1891
rand = 4583, rand_cv = 3075
rand = 1239, rand_cv = 1758
rand = 180, rand_cv = 1306
rand = 4757, rand_cv = 581
rand = 1775, rand_cv = 3132
rand = 1413, rand_cv = 4206
rand = 4869, rand_cv = 3785
rand = 1946, rand_cv = 1933
rand = 1887, rand_cv = 3517
rand = 4406, rand_cv = 4725
rand = 99, rand_cv = 944
rand = 4062, rand_cv = 1720
rand = 4475, rand_cv = 993
rand = 3317, rand_cv = 2556
rand = 1855, rand_cv = 1560
rand = 2248, rand_cv = 2893
rand = 854, rand_cv = 3157
rand = 407, rand_cv = 3915
rand = 4566, rand_cv = 3219
rand = 1491, rand_cv = 4497
rand = 1032, rand_cv = 175
rand = 3570, rand_cv = 676
rand = 3907, rand_cv = 3547
rand = 1799, rand_cv = 3057
rand = 4265, rand_cv = 3157
rand = 2292, rand_cv = 3065
rand = 1423, rand_cv = 3547
rand = 106, rand_cv = 304
rand = 4464, rand_cv = 1618
rand = 3663, rand_cv = 1941
rand = 4543, rand_cv = 3366
rand = 4545, rand_cv = 659
rand = 2940, rand_cv = 3062
rand = 2340, rand_cv = 1435
rand = 4971, rand_cv = 1618
rand = 1454, rand_cv = 2147
rand = 4023, rand_cv = 88
rand = 4352, rand_cv = 1102
rand = 615, rand_cv = 3062
rand = 2450, rand_cv = 4701
rand = 734, rand_cv = 2021
rand = 1300, rand_cv = 1791
rand = 2659, rand_cv = 3004
rand = 2416, rand_cv = 4624
rand = 847, rand_cv = 2147
rand = 2502, rand_cv = 2762
rand = 4954, rand_cv = 653
rand = 3034, rand_cv = 555
rand = 3683, rand_cv = 1096
rand = 4327, rand_cv = 825
rand = 4935, rand_cv = 2660
rand = 552, rand_cv = 792
rand = 2244, rand_cv = 1246
rand = 3172, rand_cv = 4054
rand = 1882, rand_cv = 3137
rand = 3146, rand_cv = 1102
rand = 4553, rand_cv = 27
rand = 1274, rand_cv = 1103
rand = 652, rand_cv = 3496
rand = 135, rand_cv = 4439
rand = 4024, rand_cv = 3715
rand = 3975, rand_cv = 1701
rand = 3872, rand_cv = 4843
rand = 3170, rand_cv = 2615
rand = 1923, rand_cv = 1375
rand = 3506, rand_cv = 4764
rand = 1370, rand_cv = 762
rand = 4766, rand_cv = 3590
rand = 2435, rand_cv = 1315
rand = 396, rand_cv = 3256
rand = 133, rand_cv = 2233
rand = 637, rand_cv = 3611
rand = 2305, rand_cv = 1912
rand = 386, rand_cv = 124
rand = 3272, rand_cv = 453
rand = 1415, rand_cv = 3449
rand = 3256, rand_cv = 210
rand = 1731, rand_cv = 555
rand = 1443, rand_cv = 3417
rand = 1612, rand_cv = 3758
rand = 1315, rand_cv = 3256
rand = 4667, rand_cv = 175
rand = 2087, rand_cv = 3360
rand = 3646, rand_cv = 997
rand = 3088, rand_cv = 3137
rand = 312, rand_cv = 4049
rand = 2657, rand_cv = 2728
rand = 1632, rand_cv = 1375
rand = 2002, rand_cv = 235
rand = 891, rand_cv = 3256
rand = 706, rand_cv = 1947
rand = 3377, rand_cv = 3710
rand = 4179, rand_cv = 405
rand = 2070, rand_cv = 2654
rand = 3287, rand_cv = 4026
rand = 3592, rand_cv = 3715
rand = 4062, rand_cv = 2728
rand = 2824, rand_cv = 997
rand = 2710, rand_cv = 4483
rand = 1246, rand_cv = 1964
rand = 4359, rand_cv = 4619
rand = 569, rand_cv = 2157
rand = 3816, rand_cv = 3137
rand = 1241, rand_cv = 2622
rand = 4300, rand_cv = 175
rand = 1686, rand_cv = 2481
rand = 1180, rand_cv = 313
rand = 3479, rand_cv = 3555
rand = 3518, rand_cv = 3062
rand = 34, rand_cv = 4526
rand = 1976, rand_cv = 4520
rand = 4078, rand_cv = 356
rand = 2268, rand_cv = 394
rand = 2249, rand_cv = 124
rand = 1173, rand_cv = 4143
rand = 4924, rand_cv = 2892
rand = 2833, rand_cv = 2066
rand = 4650, rand_cv = 2636
rand = 321, rand_cv = 4778
rand = 325, rand_cv = 248
rand = 1798, rand_cv = 2839
rand = 3351, rand_cv = 298
rand = 4517, rand_cv = 3062
rand = 4630, rand_cv = 2832
rand = 4644, rand_cv = 824
rand = 263, rand_cv = 2656
rand = 4309, rand_cv = 1336
rand = 2336, rand_cv = 555
rand = 4605, rand_cv = 581
rand = 3701, rand_cv = 1983
rand = 493, rand_cv = 3785
rand = 2689, rand_cv = 4819
rand = 1857, rand_cv = 344
rand = 2509, rand_cv = 124
rand = 3337, rand_cv = 1944
rand = 1007, rand_cv = 345
rand = 3746, rand_cv = 187
rand = 2903, rand_cv = 3554
rand = 3662, rand_cv = 601
rand = 1705, rand_cv = 4026
rand = 1963, rand_cv = 3715
rand = 4110, rand_cv = 1933
rand = 3934, rand_cv = 3455
rand = 4597, rand_cv = 3366
rand = 1225, rand_cv = 2409
rand = 4500, rand_cv = 3692
rand = 2270, rand_cv = 3089
rand = 420, rand_cv = 3473
rand = 1883, rand_cv = 1375
rand = 3518, rand_cv = 235
rand = 4559, rand_cv = 1883
rand = 4358, rand_cv = 371
rand = 4939, rand_cv = 2051
rand = 900, rand_cv = 4854
rand = 4045, rand_cv = 2636
rand = 880, rand_cv = 235
rand = 1052, rand_cv = 1103
rand = 4038, rand_cv = 1877
rand = 2790, rand_cv = 3473
rand = 4486, rand_cv = 146
rand = 662, rand_cv = 3303
rand = 1362, rand_cv = 1758
rand = 237, rand_cv = 3758
rand = 1111, rand_cv = 4
rand = 590, rand_cv = 2654
rand = 2610, rand_cv = 2636
rand = 4116, rand_cv = 4725
rand = 2678, rand_cv = 1291
rand = 3841, rand_cv = 4105
rand = 3515, rand_cv = 3332
rand = 1374, rand_cv = 4763
rand = 1543, rand_cv = 345
rand = 3024, rand_cv = 3417
rand = 1734, rand_cv = 2517
rand = 1361, rand_cv = 248
rand = 2027, rand_cv = 187
rand = 261, rand_cv = 356
rand = 1384, rand_cv = 2673
rand = 2733, rand_cv = 4795
rand = 3713, rand_cv = 198
rand = 1407, rand_cv = 4024
rand = 2906, rand_cv = 1331
rand = 4387, rand_cv = 4934
rand = 3819, rand_cv = 2181
rand = 479, rand_cv = 3366
rand = 1946, rand_cv = 356
rand = 2946, rand_cv = 4057
rand = 2709, rand_cv = 4695
rand = 1784, rand_cv = 1964
rand = 1495, rand_cv = 2491
rand = 1605, rand_cv = 534
rand = 3554, rand_cv = 740
rand = 4104, rand_cv = 4641
rand = 2546, rand_cv = 3692
rand = 4353, rand_cv = 4143
rand = 1163, rand_cv = 1441
rand = 2671, rand_cv = 807
rand = 159, rand_cv = 1618
rand = 3189, rand_cv = 1576
rand = 2660, rand_cv = 3981
rand = 2399, rand_cv = 1933
rand = 567, rand_cv = 298
rand = 799, rand_cv = 350
rand = 1846, rand_cv = 3219
rand = 3953, rand_cv = 3062
rand = 3874, rand_cv = 2259
rand = 2416, rand_cv = 4345
rand = 1249, rand_cv = 581
rand = 4983, rand_cv = 3157
rand = 4912, rand_cv = 1896
rand = 2019, rand_cv = 4105
rand = 3804, rand_cv = 4439
rand = 4366, rand_cv = 27
rand = 390, rand_cv = 4759
rand = 4586, rand_cv = 534
rand = 514, rand_cv = 2832
rand = 752, rand_cv = 235
rand = 2237, rand_cv = 653
rand = 691, rand_cv = 3455
rand = 2383, rand_cv = 4526
rand = 870, rand_cv = 4840
rand = 2713, rand_cv = 1616
rand = 4825, rand_cv = 405
rand = 4582, rand_cv = 4701
rand = 4455, rand_cv = 2534
rand = 874, rand_cv = 4155
rand = 2344, rand_cv = 3407
rand = 3038, rand_cv = 356
rand = 1255, rand_cv = 187
rand = 4308, rand_cv = 4854
rand = 620, rand_cv = 3765
rand = 4193, rand_cv = 3758
rand = 3312, rand_cv = 1681
rand = 3061, rand_cv = 1170
rand = 2371, rand_cv = 4713
rand = 1042, rand_cv = 4814
rand = 2899, rand_cv = 3915
rand = 176, rand_cv = 1758
rand = 3380, rand_cv = 4105
rand = 1078, rand_cv = 1704
rand = 4525, rand_cv = 1791
rand = 1356, rand_cv = 446
rand = 4268, rand_cv = 3157
rand = 31, rand_cv = 3547
rand = 3060, rand_cv = 2259
rand = 2322, rand_cv = 3779
rand = 90, rand_cv = 4482
rand = 1821, rand_cv = 1906
rand = 3841, rand_cv = 1912
rand = 1103, rand_cv = 4026
rand = 1889, rand_cv = 2728
rand = 4687, rand_cv = 1681
rand = 814, rand_cv = 1681
rand = 3249, rand_cv = 129
rand = 1707, rand_cv = 4105
rand = 2029, rand_cv = 3547
rand = 4016, rand_cv = 1375
rand = 2706, rand_cv = 3496
rand = 2144, rand_cv = 2686
rand = 1066, rand_cv = 2259
rand = 2870, rand_cv = 581
rand = 1455, rand_cv = 848
rand = 2138, rand_cv = 4143
rand = 1756, rand_cv = 448
rand = 2715, rand_cv = 4181
rand = 3471, rand_cv = 400
rand = 1531, rand_cv = 555
rand = 4678, rand_cv = 1730
rand = 1773, rand_cv = 613
rand = 1244, rand_cv = 32
rand = 1701, rand_cv = 4159
rand = 158, rand_cv = 3762
rand = 3983, rand_cv = 400
rand = 2393, rand_cv = 1561
rand = 1445, rand_cv = 2088
rand = 3717, rand_cv = 3555
rand = 1411, rand_cv = 1758
rand = 2916, rand_cv = 198
rand = 2575, rand_cv = 4934
rand = 1156, rand_cv = 4189
rand = 765, rand_cv = 997
rand = 3814, rand_cv = 3915
rand = 1828, rand_cv = 3065
rand = 4832, rand_cv = 248
rand = 4824, rand_cv = 371
rand = 2830, rand_cv = 448
rand = 4474, rand_cv = 3804
rand = 3748, rand_cv = 4155

__________NEW____________
rand = 234, rand_cv = 6052
rand = 4581, rand_cv = 9936
rand = 269, rand_cv = 8669
rand = 5031, rand_cv = 7541
rand = 60, rand_cv = 7432
rand = 5949, rand_cv = 4143
rand = 64, rand_cv = 7475
rand = 4217, rand_cv = 9936
rand = 8853, rand_cv = 9004
rand = 8960, rand_cv = 5220
rand = 3050, rand_cv = 8772
rand = 3686, rand_cv = 4497
rand = 1028, rand_cv = 2556
rand = 6859, rand_cv = 4497
rand = 8083, rand_cv = 4854
rand = 8658, rand_cv = 1336
rand = 6816, rand_cv = 4483
rand = 3345, rand_cv = 7713
rand = 4337, rand_cv = 467
rand = 9561, rand_cv = 9284
rand = 1860, rand_cv = 124
rand = 4803, rand_cv = 344
rand = 8760, rand_cv = 4057
rand = 7740, rand_cv = 1103
rand = 2932, rand_cv = 5702
rand = 1178, rand_cv = 9284
rand = 5705, rand_cv = 8002
rand = 7200, rand_cv = 5246
rand = 6318, rand_cv = 9629
rand = 2971, rand_cv = 2556
rand = 6466, rand_cv = 7516
rand = 4574, rand_cv = 3219
rand = 7905, rand_cv = 9615
rand = 6237, rand_cv = 7655
rand = 6885, rand_cv = 7091
rand = 554, rand_cv = 8178
rand = 7189, rand_cv = 555
rand = 9780, rand_cv = 4181
rand = 2009, rand_cv = 1096
rand = 6693, rand_cv = 3644
rand = 8986, rand_cv = 2832
rand = 882, rand_cv = 3644
rand = 5840, rand_cv = 157
rand = 200, rand_cv = 939
rand = 1603, rand_cv = 4057
rand = 7882, rand_cv = 3219
rand = 3078, rand_cv = 3758
rand = 3185, rand_cv = 9584
rand = 8216, rand_cv = 4843
rand = 3346, rand_cv = 3765
rand = 7526, rand_cv = 27
rand = 4377, rand_cv = 175
rand = 3993, rand_cv = 6809
rand = 4338, rand_cv = 9125
rand = 732, rand_cv = 3765
rand = 2698, rand_cv = 5344
rand = 4583, rand_cv = 2566
rand = 880, rand_cv = 2728
rand = 4145, rand_cv = 9291
rand = 2632, rand_cv = 7192
rand = 3296, rand_cv = 3344
rand = 6162, rand_cv = 4195
rand = 6979, rand_cv = 5001
rand = 7270, rand_cv = 581
rand = 6983, rand_cv = 9345
rand = 9682, rand_cv = 889
rand = 5191, rand_cv = 7615
rand = 7886, rand_cv = 2654
rand = 4727, rand_cv = 467
rand = 9011, rand_cv = 9863
rand = 3141, rand_cv = 2636
rand = 2743, rand_cv = 419
rand = 7902, rand_cv = 3785
rand = 1880, rand_cv = 5001
rand = 5314, rand_cv = 3646
rand = 6970, rand_cv = 3173
rand = 4211, rand_cv = 825
rand = 7724, rand_cv = 8103
rand = 3239, rand_cv = 6694
rand = 4564, rand_cv = 3845
rand = 9101, rand_cv = 552
rand = 7281, rand_cv = 8076
rand = 8278, rand_cv = 3915
rand = 5498, rand_cv = 8239
rand = 7221, rand_cv = 5129
rand = 977, rand_cv = 6794
rand = 5968, rand_cv = 4934
rand = 649, rand_cv = 4848
rand = 1321, rand_cv = 561
rand = 5578, rand_cv = 3555
rand = 196, rand_cv = 8361
rand = 7310, rand_cv = 9269
rand = 7394, rand_cv = 5668
rand = 5109, rand_cv = 8525
rand = 3363, rand_cv = 7510
rand = 2306, rand_cv = 555
rand = 9061, rand_cv = 9369
rand = 6411, rand_cv = 3300
rand = 729, rand_cv = 3344
rand = 6336, rand_cv = 5784
rand = 2476, rand_cv = 6808
rand = 6683, rand_cv = 1096
rand = 3766, rand_cv = 9797
rand = 8273, rand_cv = 2832
rand = 4039, rand_cv = 3783
rand = 5881, rand_cv = 2104
rand = 3042, rand_cv = 5713
rand = 1034, rand_cv = 6727
rand = 3697, rand_cv = 3032
rand = 129, rand_cv = 400
rand = 7294, rand_cv = 1877
rand = 5243, rand_cv = 3296
rand = 7278, rand_cv = 9305
rand = 499, rand_cv = 4386
rand = 6448, rand_cv = 9367
rand = 1830, rand_cv = 9706
rand = 5447, rand_cv = 9863
rand = 8666, rand_cv = 1618
rand = 8264, rand_cv = 4057
rand = 669, rand_cv = 3496
rand = 6359, rand_cv = 4814
rand = 8185, rand_cv = 5220
rand = 9900, rand_cv = 7398
rand = 9776, rand_cv = 3555
rand = 3055, rand_cv = 9655
rand = 1314, rand_cv = 6785
rand = 3290, rand_cv = 9259
rand = 3145, rand_cv = 4795
rand = 3352, rand_cv = 7420
rand = 8698, rand_cv = 6794
rand = 2259, rand_cv = 1681
rand = 3968, rand_cv = 1560
rand = 2888, rand_cv = 1103
rand = 9489, rand_cv = 198
rand = 271, rand_cv = 8639
rand = 6041, rand_cv = 2517
rand = 9666, rand_cv = 5248
rand = 231, rand_cv = 7432
rand = 7830, rand_cv = 7625
rand = 3327, rand_cv = 6919
rand = 9129, rand_cv = 4008
rand = 2086, rand_cv = 2649
rand = 7133, rand_cv = 5690
rand = 7522, rand_cv = 4854
rand = 6612, rand_cv = 3765
rand = 3241, rand_cv = 4814
rand = 4329, rand_cv = 4526
rand = 3175, rand_cv = 9605
rand = 3188, rand_cv = 8682
rand = 9066, rand_cv = 1944
rand = 5601, rand_cv = 8184
rand = 6192, rand_cv = 8076
rand = 6679, rand_cv = 1773
rand = 5350, rand_cv = 2088
rand = 7673, rand_cv = 371
rand = 5114, rand_cv = 7073
rand = 538, rand_cv = 7782
rand = 9199, rand_cv = 9237
rand = 854, rand_cv = 997
rand = 4894, rand_cv = 9863
rand = 2252, rand_cv = 9615
rand = 6999, rand_cv = 8464
rand = 1598, rand_cv = 6794
rand = 8462, rand_cv = 3845
rand = 364, rand_cv = 4105
rand = 8944, rand_cv = 5401
rand = 2938, rand_cv = 9241
rand = 1527, rand_cv = 9004
rand = 9341, rand_cv = 4577
rand = 8508, rand_cv = 9722
rand = 9237, rand_cv = 7855
rand = 6476, rand_cv = 7738
rand = 1725, rand_cv = 371
rand = 1884, rand_cv = 7009
rand = 9940, rand_cv = 7886
rand = 2512, rand_cv = 8651
rand = 7525, rand_cv = 2403
rand = 4002, rand_cv = 4814
rand = 7297, rand_cv = 4057
rand = 4464, rand_cv = 8216
rand = 9770, rand_cv = 5238
rand = 3665, rand_cv = 1414
rand = 3176, rand_cv = 8355
rand = 22, rand_cv = 7671
rand = 1531, rand_cv = 4105
rand = 490, rand_cv = 1754
rand = 2725, rand_cv = 825
rand = 5203, rand_cv = 3417
rand = 7575, rand_cv = 4181
rand = 2059, rand_cv = 4054
rand = 8880, rand_cv = 4105
rand = 7873, rand_cv = 7936
rand = 9245, rand_cv = 7611
rand = 4972, rand_cv = 3981
rand = 1578, rand_cv = 4854
rand = 5995, rand_cv = 1912
rand = 3960, rand_cv = 2654
rand = 1758, rand_cv = 997
rand = 4602, rand_cv = 4848
rand = 3795, rand_cv = 371
rand = 6521, rand_cv = 1306
rand = 580, rand_cv = 3805
rand = 9104, rand_cv = 7712
rand = 5379, rand_cv = 9765
rand = 726, rand_cv = 2832
rand = 3717, rand_cv = 2656
rand = 4208, rand_cv = 1681
rand = 7705, rand_cv = 7541
rand = 1845, rand_cv = 8768
rand = 3805, rand_cv = 5113
rand = 7612, rand_cv = 4848
rand = 264, rand_cv = 4938
rand = 7262, rand_cv = 3765
rand = 4168, rand_cv = 792
rand = 1852, rand_cv = 8422
rand = 4272, rand_cv = 6030
rand = 790, rand_cv = 5220
rand = 8359, rand_cv = 7671
rand = 8245, rand_cv = 1964
rand = 9732, rand_cv = 1791
rand = 8880, rand_cv = 2832
rand = 7513, rand_cv = 2111
rand = 7557, rand_cv = 9706
rand = 2075, rand_cv = 6999
rand = 8304, rand_cv = 6893
rand = 3054, rand_cv = 8205
rand = 2033, rand_cv = 7625
rand = 7637, rand_cv = 4854
rand = 4738, rand_cv = 7387
rand = 2714, rand_cv = 1944
rand = 485, rand_cv = 3360
rand = 301, rand_cv = 3455
rand = 525, rand_cv = 1103
rand = 1485, rand_cv = 5702
rand = 4087, rand_cv = 9605
rand = 9264, rand_cv = 1441
rand = 3438, rand_cv = 2654
rand = 8553, rand_cv = 9485
rand = 5159, rand_cv = 4186
rand = 4626, rand_cv = 9125
rand = 4553, rand_cv = 3785
rand = 8187, rand_cv = 1762
rand = 5910, rand_cv = 4778
rand = 4458, rand_cv = 248
rand = 1717, rand_cv = 5814
rand = 4425, rand_cv = 7671
rand = 4273, rand_cv = 9027
rand = 2342, rand_cv = 3360
rand = 9380, rand_cv = 371
rand = 9553, rand_cv = 4814
rand = 4297, rand_cv = 5086
rand = 8345, rand_cv = 3062
rand = 1953, rand_cv = 7892
rand = 2549, rand_cv = 5702
rand = 9871, rand_cv = 3785
rand = 6810, rand_cv = 9640
rand = 2140, rand_cv = 9291
rand = 984, rand_cv = 4159
rand = 8309, rand_cv = 3116
rand = 4203, rand_cv = 8998
rand = 192, rand_cv = 371
rand = 4666, rand_cv = 7611
rand = 4458, rand_cv = 9645
rand = 1284, rand_cv = 9789
rand = 2315, rand_cv = 3360
rand = 5650, rand_cv = 1618
rand = 813, rand_cv = 4105
rand = 3935, rand_cv = 6635
rand = 2115, rand_cv = 3981
rand = 5823, rand_cv = 7516
rand = 5877, rand_cv = 6634
rand = 7538, rand_cv = 7432
rand = 1509, rand_cv = 5784
rand = 8304, rand_cv = 4189
rand = 8340, rand_cv = 7712
rand = 2531, rand_cv = 4854
rand = 7888, rand_cv = 7921
rand = 574, rand_cv = 9633
rand = 5243, rand_cv = 1791
rand = 5980, rand_cv = 8103
rand = 8360, rand_cv = 1882
rand = 2301, rand_cv = 8274
rand = 9570, rand_cv = 9128
rand = 129, rand_cv = 3296
rand = 9199, rand_cv = 7713
rand = 161, rand_cv = 8639
rand = 5545, rand_cv = 3845
rand = 6496, rand_cv = 8177
rand = 9507, rand_cv = 601
rand = 8064, rand_cv = 5113
rand = 3920, rand_cv = 371
rand = 3259, rand_cv = 6013
rand = 7501, rand_cv = 601
rand = 5994, rand_cv = 8103
rand = 8796, rand_cv = 4497
rand = 3985, rand_cv = 889
rand = 5581, rand_cv = 9347
rand = 1574, rand_cv = 1906
rand = 3878, rand_cv = 187
rand = 340, rand_cv = 8612
rand = 2573, rand_cv = 6809
rand = 1114, rand_cv = 3845
rand = 585, rand_cv = 4
rand = 838, rand_cv = 4482
rand = 7119, rand_cv = 2271
rand = 2034, rand_cv = 3646
rand = 635, rand_cv = 1909
rand = 2783, rand_cv = 9096
rand = 8449, rand_cv = 6546
rand = 5494, rand_cv = 3496
rand = 644, rand_cv = 7671
rand = 2167, rand_cv = 3496
rand = 4662, rand_cv = 8799
rand = 6468, rand_cv = 7625
rand = 6146, rand_cv = 5453
rand = 2131, rand_cv = 9722
rand = 3882, rand_cv = 6966
rand = 4389, rand_cv = 2633
rand = 5294, rand_cv = 4143
rand = 6705, rand_cv = 3654
rand = 7110, rand_cv = 9004
rand = 3850, rand_cv = 4143
rand = 4245, rand_cv = 9367
rand = 9947, rand_cv = 6785
rand = 7764, rand_cv = 8581
rand = 1183, rand_cv = 9291
rand = 2078, rand_cv = 3705
rand = 8725, rand_cv = 146
rand = 1112, rand_cv = 1762
rand = 8278, rand_cv = 2615
rand = 452, rand_cv = 3644
rand = 7233, rand_cv = 7859
rand = 7028, rand_cv = 653
rand = 7342, rand_cv = 2534
rand = 7614, rand_cv = 3032
rand = 8797, rand_cv = 5334
rand = 8890, rand_cv = 6966
rand = 8793, rand_cv = 1291
rand = 1835, rand_cv = 8855
rand = 2431, rand_cv = 9615
rand = 7297, rand_cv = 3496
rand = 4869, rand_cv = 8525
rand = 7936, rand_cv = 1758
rand = 9669, rand_cv = 9004
rand = 8720, rand_cv = 2695
rand = 6787, rand_cv = 344
rand = 9936, rand_cv = 8612
rand = 7926, rand_cv = 4159
rand = 5374, rand_cv = 6167
rand = 5287, rand_cv = 4479
rand = 8817, rand_cv = 7936
rand = 4029, rand_cv = 8907
rand = 3196, rand_cv = 5697
rand = 1494, rand_cv = 8136
rand = 7010, rand_cv = 3303
rand = 6439, rand_cv = 2259
rand = 151, rand_cv = 9688
rand = 6129, rand_cv = 3845
rand = 8377, rand_cv = 8002
rand = 5804, rand_cv = 1369
rand = 9091, rand_cv = 1291
rand = 9777, rand_cv = 8525
rand = 4415, rand_cv = 3792
rand = 3964, rand_cv = 4295
rand = 5582, rand_cv = 8612
rand = 4777, rand_cv = 4143
rand = 7639, rand_cv = 7157
rand = 2305, rand_cv = 9538
rand = 5818, rand_cv = 5336
rand = 5701, rand_cv = 2893
rand = 3185, rand_cv = 3646
rand = 2899, rand_cv = 6836
rand = 9363, rand_cv = 653
rand = 8428, rand_cv = 9284
rand = 4536, rand_cv = 9096
rand = 2275, rand_cv = 1170
rand = 4035, rand_cv = 7559
rand = 4904, rand_cv = 4181
rand = 9575, rand_cv = 1936
rand = 3761, rand_cv = 1681
rand = 7854, rand_cv = 8167
rand = 748, rand_cv = 9629
rand = 8211, rand_cv = 12
rand = 8623, rand_cv = 9125
rand = 4222, rand_cv = 7516
rand = 7256, rand_cv = 3646
rand = 3217, rand_cv = 3765
rand = 5609, rand_cv = 4759
rand = 5181, rand_cv = 6276
rand = 186, rand_cv = 5395
rand = 4691, rand_cv = 371
rand = 3227, rand_cv = 1758
rand = 8699, rand_cv = 6152
rand = 2071, rand_cv = 405
rand = 8984, rand_cv = 8669
rand = 4048, rand_cv = 534
rand = 8308, rand_cv = 7387
rand = 6650, rand_cv = 198
rand = 2190, rand_cv = 5899
rand = 6502, rand_cv = 5248
rand = 2233, rand_cv = 4577
rand = 3137, rand_cv = 1553
rand = 4259, rand_cv = 248
rand = 1608, rand_cv = 7834
rand = 8646, rand_cv = 5719
rand = 7601, rand_cv = 3765
rand = 7463, rand_cv = 2832
rand = 360, rand_cv = 6290
rand = 2805, rand_cv = 64
rand = 5994, rand_cv = 4843
rand = 9543, rand_cv = 6005
rand = 7634, rand_cv = 2654
rand = 915, rand_cv = 12
rand = 1139, rand_cv = 4814
rand = 6967, rand_cv = 7996
rand = 2517, rand_cv = 2654
rand = 2574, rand_cv = 5047
rand = 8774, rand_cv = 2322
rand = 7713, rand_cv = 5814
rand = 2329, rand_cv = 6778
rand = 6282, rand_cv = 20
rand = 634, rand_cv = 7671
rand = 2588, rand_cv = 6966
rand = 8757, rand_cv = 5690
rand = 5483, rand_cv = 1189
rand = 2037, rand_cv = 32
rand = 1978, rand_cv = 4713
rand = 8949, rand_cv = 2728
rand = 6831, rand_cv = 5962
rand = 4060, rand_cv = 728
rand = 1376, rand_cv = 9353
rand = 3082, rand_cv = 3845
rand = 9412, rand_cv = 4641
rand = 8985, rand_cv = 9237
rand = 1609, rand_cv = 7289
rand = 4495, rand_cv = 3915
rand = 2070, rand_cv = 4934
rand = 4886, rand_cv = 581
rand = 3245, rand_cv = 5248
rand = 554, rand_cv = 3242
rand = 6924, rand_cv = 5453
rand = 9257, rand_cv = 3004
rand = 4558, rand_cv = 1773
rand = 2196, rand_cv = 1009
rand = 9229, rand_cv = 4719
rand = 2245, rand_cv = 2137
rand = 6971, rand_cv = 6197
rand = 9961, rand_cv = 7157
rand = 6278, rand_cv = 5720
rand = 4613, rand_cv = 6677
rand = 8739, rand_cv = 8409
rand = 4395, rand_cv = 1877
rand = 5546, rand_cv = 2905
rand = 1943, rand_cv = 1103
rand = 3955, rand_cv = 8661
rand = 5124, rand_cv = 8704
rand = 8891, rand_cv = 3270
rand = 9981, rand_cv = 2660
rand = 172, rand_cv = 8908
rand = 8467, rand_cv = 7205
rand = 1555, rand_cv = 4189
rand = 7396, rand_cv = 9366
rand = 8459, rand_cv = 7242
rand = 7510, rand_cv = 8845
rand = 3675, rand_cv = 9688
rand = 5988, rand_cv = 8639
rand = 7084, rand_cv = 9645
rand = 2611, rand_cv = 2517
rand = 6829, rand_cv = 653
rand = 2977, rand_cv = 3417
rand = 8232, rand_cv = 5697
rand = 106, rand_cv = 9645
rand = 2806, rand_cv = 9274
rand = 193, rand_cv = 3366
rand = 6314, rand_cv = 1102
rand = 7290, rand_cv = 2636
rand = 2508, rand_cv = 3057
rand = 7998, rand_cv = 3644
rand = 3842, rand_cv = 6893
rand = 3568, rand_cv = 5001
rand = 6482, rand_cv = 4314
rand = 5798, rand_cv = 889
rand = 8514, rand_cv = 3644
rand = 1873, rand_cv = 2656
rand = 9723, rand_cv = 6197
rand = 9349, rand_cv = 944
rand = 2465, rand_cv = 7611
rand = 4829, rand_cv = 5220
rand = 1207, rand_cv = 792
rand = 9130, rand_cv = 1102
rand = 5579, rand_cv = 3613
rand = 7628, rand_cv = 3455
